Code	Repository	GeneName	GeneSymbol	MotifLength
MA0805.1|TBX1.SwissRegulon|M04126	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	TBX1|TBX1|TBX1	TBX1	8
MA0806.1|TBX4.SwissRegulon|M04135	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	TBX4|TBX4|TBX4	TBX4	8
MA0807.1|M04137	JASPAR_v2016|TRANSFAC_v2017.1	TBX5|Tbx5	TBX5	8
MA0808.1|TEAD3.SwissRegulon|M04144	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	TEAD3|TEAD3|TEAD3	TEAD3	8
MA0809.1|M04145	JASPAR_v2016|TRANSFAC_v2017.1	TEAD4|TEAD4	TEAD4	10
MA0810.1|M04146	JASPAR_v2016|TRANSFAC_v2017.1	TFAP2A(var.2)|TFAP2A	TFAP2A	12
MA0811.1|M04149	JASPAR_v2016|TRANSFAC_v2017.1	TFAP2B|TFAP2B	TFAP2B	12
MA0812.1|M04150	JASPAR_v2016|TRANSFAC_v2017.1	TFAP2B(var.2)|TFAP2B	TFAP2B	11
MA0813.1|TFAP2B.SwissRegulon|M04151	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	TFAP2B(var.3)|TFAP2B|TFAP2B	TFAP2B	13
MA0814.1	JASPAR_v2016	TFAP2C(var.2)	TFAP2C	11
MA0815.1	JASPAR_v2016	TFAP2C(var.3)	TFAP2C	13
MA0817.1|BHLHE22.SwissRegulon|M04164|M08027	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1|TRANSFAC_v2017.1	BHLHE23|BHLHE22|BHLHE22|BHLHE23	BHLHE23|BHLHE22	12
MA0818.1|BHLHE23.SwissRegulon|M04165|M08028	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1|TRANSFAC_v2017.1	BHLHE22|BHLHE23|BHLHE23|BHLHE22	BHLHE22|BHLHE23	10
MA0819.1|CLOCK.SwissRegulon|M04168	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	CLOCK|CLOCK|CLOCK	CLOCK	10
MA0820.1|FIGLA.SwissRegulon|M04169	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	FIGLA|FIGLA|FIGLA	FIGLA	10
MA0821.1|HES5.SwissRegulon|M04170	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	HES5|HES5|HES-5	HES5	12
MA0822.1|HES7.SwissRegulon|M04171	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	HES7|HES7|HES-7	HES7	12
MA0823.1|HEY1.SwissRegulon|M04172	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	HEY1|HEY1|HEY1	HEY1	10
MA0824.1|ID4.SwissRegulon|M04174	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	ID4|ID4|ID4	ID4	10
MA0825.1|MNT.SwissRegulon|M04180	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	MNT|MNT|MNT	MNT	10
MA0826.1|OLIG1.SwissRegulon|M04185	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	OLIG1|OLIG1|OLIG1	OLIG1	10
MA0827.1|OLIG3.SwissRegulon|M04187	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	OLIG3|OLIG3|OLIG3	OLIG3	10
MA0828.1|M04188	JASPAR_v2016|TRANSFAC_v2017.1	SREBF2(var.2)|SREBF2	SREBF2	10
MA0830.1	JASPAR_v2016	TCF4	TCF4	10
MA0831.1|M04193	JASPAR_v2016|TRANSFAC_v2017.1	TFE3|TFE3	TFE3	10
MA0833.1|ATF4.SwissRegulon|M04197	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	ATF4|ATF4|ATF4	ATF4	13
MA0834.1|ATF7.SwissRegulon|M04198	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	ATF7|ATF7|ATF7	ATF7	14
MA0835.1|BATF3.SwissRegulon|M04200	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	BATF3|BATF3|BATF3	BATF3	14
MA0836.1|CEBPD.SwissRegulon|M04202	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	CEBPD|CEBPD|CEBPD	CEBPD	10
MA0837.1|CEBPE.SwissRegulon|M04203	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	CEBPE|CEBPE|CEBPE	CEBPE	10
MA0838.1	JASPAR_v2016	CEBPG	CEBPG	10
MA0839.1	JASPAR_v2016	CREB3L1	CREB3L1	14
MA0841.1|M04222	JASPAR_v2016|TRANSFAC_v2017.1	NFE2|NFE2	NFE2	11
MA0842.1|NRL.SwissRegulon|M04224	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	NRL|NRL|NRL	NRL	11
MA0843.1|TEF.SwissRegulon|M04225	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	TEF|TEF|TEF	TEF	12
MA0844.1|M04228	JASPAR_v2016|TRANSFAC_v2017.1	XBP1|XBP1	XBP1	14
MA0845.1|M08032	JASPAR_v2016|TRANSFAC_v2017.1	FOXB1|FOXB1	FOXB1	11
MA0846.1|FOXC2.SwissRegulon|M04237	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	FOXC2|FOXC2|FOXC2	FOXC2	12
MA0847.1|FOXD2.SwissRegulon|M04239	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	FOXD2|FOXD2|FOXD2	FOXD2	7
MA0848.1|M04262	JASPAR_v2016|TRANSFAC_v2017.1	FOXO4|FOXO4	FOXO4	7
MA0849.1|FOXO6.SwissRegulon|M04265	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	FOXO6|FOXO6|FOXO6	FOXO6	7
MA0850.1|FOXP3.SwissRegulon|M04267	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	FOXP3|FOXP3|FOXP3	FOXP3	7
MA0855.1|M04491	JASPAR_v2016|TRANSFAC_v2017.1	RXRB|RXRB	RXRB	14
MA0856.1	JASPAR_v2016	RXRG	RXRG	14
MA0861.1	JASPAR_v2016	TP73	TP73	18
MA0862.1|M04504	JASPAR_v2016|TRANSFAC_v2017.1	GMEB2|GMEB2	GMEB2	8
MA0863.1|M04507	JASPAR_v2016|TRANSFAC_v2017.1	MTF1|MTF-1	MTF1	14
MA0864.1|M04517	JASPAR_v2016|TRANSFAC_v2017.1	E2F2|E2F2	E2F2	16
MA0865.1|E2F8.SwissRegulon|M04520	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	E2F8|E2F8|E2F8	E2F8	12
MA0866.1|M04535	JASPAR_v2016|TRANSFAC_v2017.1	SOX21|Sox-21	SOX21	15
MA0867.1|M04542	JASPAR_v2016|TRANSFAC_v2017.1	SOX4|Sox-4	SOX4	16
MA0868.1|M08039	JASPAR_v2016|TRANSFAC_v2017.1	SOX8|SOX8	SOX8	16
MA0871.1|TFEC.SwissRegulon|M04571	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	TFEC|TFEC|TFEC	TFEC	10
MA0872.1	JASPAR_v2016	TFAP2A(var.3)	TFAP2A	13
MA0873.1|M04362	JASPAR_v2016|TRANSFAC_v2017.1	HOXD12|HOXD12	HOXD12	11
MA0875.1|M04291	JASPAR_v2016|TRANSFAC_v2017.1	BARX1|BARX1	BARX1	8
MA0876.1|BSX.SwissRegulon|M04292	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	BSX|BSX|BSX	BSX	8
MA0878.1|M04297	JASPAR_v2016|TRANSFAC_v2017.1	CDX1|CDX1	CDX1	9
MA0882.1|DLX6.SwissRegulon|M04304	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	DLX6|DLX6|Dlx-6	DLX6	8
MA0884.1|DUXA.SwissRegulon|M04309	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	DUXA|DUXA|DUXA	DUXA	13
MA0886.1|M04314	JASPAR_v2016|TRANSFAC_v2017.1	EMX2|EMX2	EMX2	10
MA0887.1|EVX1.SwissRegulon|M04320	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	EVX1|EVX1|EVX1	EVX1	10
MA0888.1|M04321	JASPAR_v2016|TRANSFAC_v2017.1	EVX2|EVX2	EVX2	10
MA0889.1|GBX1.SwissRegulon|M04322	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	GBX1|GBX1|GBX1	GBX1	10
MA0890.1	JASPAR_v2016	GBX2	GBX2	10
MA0891.1|GSC2.SwissRegulon|M04325	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	GSC2|GSC2|GSC2	GSC2	10
MA0892.1|GSX1.SwissRegulon|M04327	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	GSX1|GSX1|GSX1	GSX1	10
MA0893.1|M04328	JASPAR_v2016|TRANSFAC_v2017.1	GSX2|GSX2	GSX2	10
MA0894.1|M04330	JASPAR_v2016|TRANSFAC_v2017.1	HESX1|HESX1	HESX1	10
MA0895.1|HMBOX1.SwissRegulon|M04332	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	HMBOX1|HMBOX1|HMBOX1	HMBOX1	10
MA0899.1|M04340	JASPAR_v2016|TRANSFAC_v2017.1	HOXA10|HOXA10	HOXA10	11
MA0900.1|M04344	JASPAR_v2016|TRANSFAC_v2017.1	HOXA2|HOXA2	HOXA2	10
MA0901.1|M04345	JASPAR_v2016|TRANSFAC_v2017.1	HOXB13|HOXB13	HOXB13	10
MA0902.1|HOXB2.SwissRegulon|M04347	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	HOXB2|HOXB2|HOXB2	HOXB2	10
MA0903.1|M04348	JASPAR_v2016|TRANSFAC_v2017.1	HOXB3|HOXB3	HOXB3	10
MA0905.1|M04352	JASPAR_v2016|TRANSFAC_v2017.1	HOXC10|HOXC10	HOXC10	10
MA0906.1|HOXC12.SwissRegulon|M04356	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	HOXC12|HOXC12|HOXC12	HOXC12	11
MA0907.1|M04358	JASPAR_v2016|TRANSFAC_v2017.1	HOXC13|HOXC13	HOXC13	11
MA0908.1|M04359	JASPAR_v2016|TRANSFAC_v2017.1	HOXD11|HOXD11	HOXD11	10
MA0909.1|HOXD13.SwissRegulon|M04363	JASPAR_v2016|SwissRegulon|TRANSFAC_v2017.1	HOXD13|HOXD13|HOXD13	HOXD13	10
MA0914.1|M04379	JASPAR_v2016|TRANSFAC_v2017.1	ISL2|ISL2	ISL2	8
MA0055.1|MYF6.SwissRegulon	JASPAR_CORE|SwissRegulon	Myf|MYF6	MYF6	12
MA0077.1	JASPAR_CORE	SOX9	SOX9	9
MA0114.1|M02220	JASPAR_CORE|TRANSFAC_v2017.1	HNF4A|HNF4A	HNF4A	13
MA0079.2|M02281	JASPAR_CORE|TRANSFAC_v2017.1	SP1|SP1	SP1	10
MA0102.2	JASPAR_CORE	CEBPA	CEBPA	9
AHR.SwissRegulon|ARNT2.SwissRegulon	SwissRegulon|SwissRegulon	AHR|ARNT2	AHR|ARNT2	6
AIRE.SwissRegulon	SwissRegulon	AIRE	AIRE	18
ALX1.SwissRegulon	SwissRegulon	ALX1	ALX1	13
ALX3.SwissRegulon	SwissRegulon	ALX3	ALX3	17
ALX4.SwissRegulon	SwissRegulon	ALX4	ALX4	13
ARID3A.SwissRegulon	SwissRegulon	ARID3A	ARID3A	22
ARID5A.SwissRegulon	SwissRegulon	ARID5A	ARID5A	14
ARID5B.SwissRegulon	SwissRegulon	ARID5B	ARID5B	14
ARNTL.SwissRegulon	SwissRegulon	ARNTL	ARNTL	14
AR.SwissRegulon	SwissRegulon	AR	AR	17
ARX.SwissRegulon|M04282	SwissRegulon|TRANSFAC_v2017.1	ARX|ARX	ARX	13
ASCL2.SwissRegulon	SwissRegulon	ASCL2	ASCL2	17
ATF1.SwissRegulon	SwissRegulon	ATF1	ATF1	10
ATF2.SwissRegulon	SwissRegulon	ATF2	ATF2	9
ATF3.SwissRegulon	SwissRegulon	ATF3	ATF3	9
ATF5.SwissRegulon	SwissRegulon	ATF5	ATF5	12
ATF6.SwissRegulon	SwissRegulon	ATF6	ATF6	12
ATOH1.SwissRegulon	SwissRegulon	ATOH1	ATOH1	12
BACH1.SwissRegulon	SwissRegulon	BACH1	BACH1	14
BACH2.SwissRegulon	SwissRegulon	BACH2	BACH2	15
BARHL1.SwissRegulon	SwissRegulon	BARHL1	BARHL1	10
BARHL2.SwissRegulon|M04288	SwissRegulon|TRANSFAC_v2017.1	BARHL2|BARHL2	BARHL2	10
BARX1.SwissRegulon|M04290	SwissRegulon|TRANSFAC_v2017.1	BARX1|BARX1	BARX1	17
BARX2.SwissRegulon	SwissRegulon	BARX2	BARX2	16
BATF.SwissRegulon	SwissRegulon	BATF	BATF	10
BBX.SwissRegulon	SwissRegulon	BBX	BBX	15
BCL11A.SwissRegulon	SwissRegulon	BCL11A	BCL11A	8
BCL3.SwissRegulon	SwissRegulon	BCL3	BCL3	19
BCL6B.SwissRegulon	SwissRegulon	BCL6B	BCL6B	16
BCL6.SwissRegulon	SwissRegulon	BCL6	BCL6	15
BHLHA15.SwissRegulon|M04161	SwissRegulon|TRANSFAC_v2017.1	BHLHA15|BHLHA15	BHLHA15	10
BHLHE40.SwissRegulon	SwissRegulon	BHLHE40	BHLHE40	23
BPTF.SwissRegulon	SwissRegulon	BPTF	BPTF	14
BRCA1.SwissRegulon	SwissRegulon	BRCA1	BRCA1	9
CBFB.SwissRegulon	SwissRegulon	CBFB	CBFB	11
CDC5L.SwissRegulon	SwissRegulon	CDC5L	CDC5L	12
CDX1.SwissRegulon	SwissRegulon	CDX1	CDX1	8
CDX2.SwissRegulon	SwissRegulon	CDX2	CDX2	16
CEBPA.SwissRegulon	SwissRegulon	CEBPA	CEBPA	10
CEBPB.SwissRegulon	SwissRegulon	CEBPB	CEBPB	10
CEBPG.SwissRegulon	SwissRegulon	CEBPG	CEBPG	13
CEBPZ.SwissRegulon	SwissRegulon	CEBPZ	CEBPZ	11
CHD1.SwissRegulon	SwissRegulon	CHD1	CHD1	15
CHD2.SwissRegulon	SwissRegulon	CHD2	CHD2	13
CPEB1.SwissRegulon|M04514	SwissRegulon|TRANSFAC_v2017.1	CPEB1|CPEB1	CPEB1	8
CREB1.SwissRegulon	SwissRegulon	CREB1	CREB1	18
CREB3L1.SwissRegulon|M04572	SwissRegulon|TRANSFAC_v2017.1	CREB3L1|CREB3L1	CREB3L1	14
CREB3L2.SwissRegulon	SwissRegulon	CREB3L2	CREB3L2	12
CREB5.SwissRegulon	SwissRegulon	CREB5	CREB5	12
CREM.SwissRegulon	SwissRegulon	CREM	CREM	11
CRX.SwissRegulon	SwissRegulon	CRX	CRX	8
CTCFL.SwissRegulon	SwissRegulon	CTCFL	CTCFL	20
CTCF.SwissRegulon|M03895	SwissRegulon|TRANSFAC_v2017.1	CTCF|CTCF	CTCF	17
CUX1.SwissRegulon	SwissRegulon	CUX1	CUX1	10
CUX2.SwissRegulon	SwissRegulon	CUX2	CUX2	15
CXXC1.SwissRegulon	SwissRegulon	CXXC1	CXXC1	7
DBP.SwissRegulon	SwissRegulon	DBP	DBP	7
DBX2.SwissRegulon	SwissRegulon	DBX2	DBX2	16
DDIT3.SwissRegulon	SwissRegulon	DDIT3	DDIT3	12
DLX1.SwissRegulon	SwissRegulon	DLX1	DLX1	14
DLX2.SwissRegulon	SwissRegulon	DLX2	DLX2	8
DLX3.SwissRegulon	SwissRegulon	DLX3	DLX3	10
DLX4.SwissRegulon	SwissRegulon	DLX4	DLX4	17
DLX5.SwissRegulon	SwissRegulon	DLX5	DLX5	16
DMBX1.SwissRegulon	SwissRegulon	DMBX1	DMBX1	17
DMC1.SwissRegulon	SwissRegulon	DMC1	DMC1	20
DPRX.SwissRegulon|M04307	SwissRegulon|TRANSFAC_v2017.1	DPRX|DPRX	DPRX	11
DRGX.SwissRegulon|M04308	SwissRegulon|TRANSFAC_v2017.1	DRGX|DRGX	DRGX	13
E2F1.SwissRegulon	SwissRegulon	E2F1	E2F1	10
E2F2.SwissRegulon	SwissRegulon	E2F2	E2F2	8
E2F3.SwissRegulon	SwissRegulon	E2F3	E2F3	17
E2F4.SwissRegulon	SwissRegulon	E2F4	E2F4	20
E2F5.SwissRegulon	SwissRegulon	E2F5	E2F5	10
E2F6.SwissRegulon	SwissRegulon	E2F6	E2F6	12
E2F7.SwissRegulon	SwissRegulon	E2F7	E2F7	12
E4F1.SwissRegulon	SwissRegulon	E4F1	E4F1	9
EBF1.SwissRegulon	SwissRegulon	EBF1	EBF1	10
EBF3.SwissRegulon	SwissRegulon	EBF3	EBF3	11
EGR1.SwissRegulon	SwissRegulon	EGR1	EGR1	11
EGR2.SwissRegulon	SwissRegulon	EGR2	EGR2	12
EHF.SwissRegulon	SwissRegulon	EHF	EHF	13
ELF1.SwissRegulon	SwissRegulon	ELF1	ELF1	10
ELF2.SwissRegulon	SwissRegulon	ELF2	ELF2	7
ELF3.SwissRegulon	SwissRegulon	ELF3	ELF3	12
ELF4.SwissRegulon	SwissRegulon	ELF4	ELF4	16
ELF5.SwissRegulon	SwissRegulon	ELF5	ELF5	11
ELK3.SwissRegulon	SwissRegulon	ELK3	ELK3	17
ELK4.SwissRegulon	SwissRegulon	ELK4	ELK4	10
EMX1.SwissRegulon|M04312	SwissRegulon|TRANSFAC_v2017.1	EMX1|EMX1	EMX1	10
EMX2.SwissRegulon|M04315	SwissRegulon|TRANSFAC_v2017.1	EMX2|EMX2	EMX2	14
EN1.SwissRegulon	SwissRegulon	EN1	EN1	10
EOMES.SwissRegulon	SwissRegulon	EOMES	EOMES	16
EP300.SwissRegulon	SwissRegulon	EP300	EP300	14
EPAS1.SwissRegulon	SwissRegulon	EPAS1	EPAS1	13
ERG.SwissRegulon	SwissRegulon	ERG	ERG	10
ESR1.SwissRegulon	SwissRegulon	ESR1	ESR1	18
ESR2.SwissRegulon	SwissRegulon	ESR2	ESR2	7
ESRRA.SwissRegulon	SwissRegulon	ESRRA	ESRRA	10
ESRRG.SwissRegulon|M04462	SwissRegulon|TRANSFAC_v2017.1	ESRRG|ESRRG	ESRRG	10
ETS1.SwissRegulon	SwissRegulon	ETS1	ETS1	10
ETS2.SwissRegulon	SwissRegulon	ETS2	ETS2	11
ETV1.SwissRegulon	SwissRegulon	ETV1	ETV1	16
ETV3.SwissRegulon	SwissRegulon	ETV3	ETV3	16
ETV4.SwissRegulon	SwissRegulon	ETV4	ETV4	8
ETV6.SwissRegulon|M03984	SwissRegulon|TRANSFAC_v2017.1	ETV6|ETV6	ETV6	15
ETV7.SwissRegulon	SwissRegulon	ETV7	ETV7	17
EVX2.SwissRegulon	SwissRegulon	EVX2	EVX2	17
EZH2.SwissRegulon	SwissRegulon	EZH2	EZH2	10
FLI1.SwissRegulon	SwissRegulon	FLI1	FLI1	10
FOSB.SwissRegulon	SwissRegulon	FOSB	FOSB	10
FOSL1.SwissRegulon	SwissRegulon	FOSL1	FOSL1	8
FOSL2.SwissRegulon	SwissRegulon	FOSL2	FOSL2	12
FOS.SwissRegulon	SwissRegulon	FOS	FOS	12
FOXA2.SwissRegulon	SwissRegulon	FOXA2	FOXA2	17
FOXA3.SwissRegulon	SwissRegulon	FOXA3	FOXA3	13
FOXB1.SwissRegulon|M04231	SwissRegulon|TRANSFAC_v2017.1	FOXB1|FOXB1	FOXB1	9
FOXC1.SwissRegulon	SwissRegulon	FOXC1	FOXC1	11
FOXD3.SwissRegulon	SwissRegulon	FOXD3	FOXD3	9
FOXF1.SwissRegulon	SwissRegulon	FOXF1	FOXF1	11
FOXG1.SwissRegulon	SwissRegulon	FOXG1	FOXG1	7
FOXJ1.SwissRegulon	SwissRegulon	FOXJ1	FOXJ1	14
FOXJ2.SwissRegulon|M04246	SwissRegulon|TRANSFAC_v2017.1	FOXJ2|FOXJ2	FOXJ2	14
FOXJ3.SwissRegulon	SwissRegulon	FOXJ3	FOXJ3	17
FOXK1.SwissRegulon	SwissRegulon	FOXK1	FOXK1	7
FOXM1.SwissRegulon	SwissRegulon	FOXM1	FOXM1	18
FOXN1.SwissRegulon	SwissRegulon	FOXN1	FOXN1	11
FOXO1.SwissRegulon	SwissRegulon	FOXO1	FOXO1	8
FOXO4.SwissRegulon	SwissRegulon	FOXO4	FOXO4	14
FOXP1.SwissRegulon	SwissRegulon	FOXP1	FOXP1	12
FOXP2.SwissRegulon	SwissRegulon	FOXP2	FOXP2	9
FOXQ1.SwissRegulon	SwissRegulon	FOXQ1	FOXQ1	11
FUBP1.SwissRegulon	SwissRegulon	FUBP1	FUBP1	12
GABPA.SwissRegulon	SwissRegulon	GABPA	GABPA	13
GATA1.SwissRegulon	SwissRegulon	GATA1	GATA1	10
GATA3.SwissRegulon	SwissRegulon	GATA3	GATA3	6
GATA4.SwissRegulon|M03998	SwissRegulon|TRANSFAC_v2017.1	GATA4|GATA4	GATA4	8
GATA5.SwissRegulon	SwissRegulon	GATA5	GATA5	17
GATA6.SwissRegulon	SwissRegulon	GATA6	GATA6	10
GBX2.SwissRegulon|M04324	SwissRegulon|TRANSFAC_v2017.1	GBX2|GBX2	GBX2	10
GCM1.SwissRegulon|M04000	SwissRegulon|TRANSFAC_v2017.1	GCM1|GCM1	GCM1	16
GFI1B.SwissRegulon	SwissRegulon	GFI1B	GFI1B	10
GFI1.SwissRegulon	SwissRegulon	GFI1	GFI1	8
GLI1.SwissRegulon	SwissRegulon	GLI1	GLI1	11
GLI2.SwissRegulon|M03901	SwissRegulon|TRANSFAC_v2017.1	GLI2|GLI2	GLI2	14
GLI3.SwissRegulon	SwissRegulon	GLI3	GLI3	12
GLIS2.SwissRegulon	SwissRegulon	GLIS2	GLIS2	16
GMEB1.SwissRegulon	SwissRegulon	GMEB1	GMEB1	17
GMEB2.SwissRegulon|M04112	SwissRegulon|TRANSFAC_v2017.1	GMEB2|GMEB2	GMEB2	8
GRHL1.SwissRegulon|M03946	SwissRegulon|TRANSFAC_v2017.1	GRHL1|GRHL1	GRHL1	17
GSX2.SwissRegulon	SwissRegulon	GSX2	GSX2	16
GTF2F1.SwissRegulon	SwissRegulon	GTF2F1	GTF2F1	20
GTF2I.SwissRegulon	SwissRegulon	GTF2I	GTF2I	9
GZF1.SwissRegulon	SwissRegulon	GZF1	GZF1	12
HAND1.SwissRegulon	SwissRegulon	HAND1	HAND1	16
HBP1.SwissRegulon	SwissRegulon	HBP1	HBP1	16
HCFC1.SwissRegulon	SwissRegulon	HCFC1	HCFC1	20
HDX.SwissRegulon	SwissRegulon	HDX	HDX	17
HES1.SwissRegulon	SwissRegulon	HES1	HES1	15
HESX1.SwissRegulon	SwissRegulon	HESX1	HESX1	16
HEY2.SwissRegulon	SwissRegulon	HEY2	HEY2	10
HIC1.SwissRegulon	SwissRegulon	HIC1	HIC1	18
HIF1A.SwissRegulon	SwissRegulon	HIF1A	HIF1A	12
HINFP1.SwissRegulon|M03909	SwissRegulon|TRANSFAC_v2017.1	HINFP1|HINFP	HINFP	19
HIVEP1.SwissRegulon	SwissRegulon	HIVEP1	HIVEP1	12
HLF.SwissRegulon	SwissRegulon	HLF	HLF	13
HLX.SwissRegulon	SwissRegulon	HLX	HLX	15
HMGA1.SwissRegulon	SwissRegulon	HMGA1	HMGA1	7
HMGA2.SwissRegulon	SwissRegulon	HMGA2	HMGA2	15
HMX1.SwissRegulon	SwissRegulon	HMX1	HMX1	10
HMX2.SwissRegulon	SwissRegulon	HMX2	HMX2	17
HMX3.SwissRegulon	SwissRegulon	HMX3	HMX3	17
HNF1A.SwissRegulon	SwissRegulon	HNF1A	HNF1A	15
HNF4A.SwissRegulon	SwissRegulon	HNF4A	HNF4A	14
HNF4G.SwissRegulon	SwissRegulon	HNF4G	HNF4G	12
HOMEZ.SwissRegulon|M04007	SwissRegulon|TRANSFAC_v2017.1	HOMEZ|HOMEZ	HOMEZ	12
HOXA10.SwissRegulon	SwissRegulon	HOXA10	HOXA10	16
HOXA11.SwissRegulon	SwissRegulon	HOXA11	HOXA11	11
HOXA13.SwissRegulon|M04342	SwissRegulon|TRANSFAC_v2017.1	HOXA13|HOXA13	HOXA13	11
HOXA1.SwissRegulon	SwissRegulon	HOXA1	HOXA1	10
HOXA2.SwissRegulon	SwissRegulon	HOXA2	HOXA2	12
HOXA3.SwissRegulon	SwissRegulon	HOXA3	HOXA3	14
HOXA4.SwissRegulon	SwissRegulon	HOXA4	HOXA4	8
HOXA6.SwissRegulon|HOXB6.SwissRegulon	SwissRegulon|SwissRegulon	HOXA6|HOXB6	HOXA6|HOXB6	4
HOXA7.SwissRegulon	SwissRegulon	HOXA7	HOXA7	17
HOXA9.SwissRegulon	SwissRegulon	HOXA9	HOXA9	12
HOXB13.SwissRegulon	SwissRegulon	HOXB13	HOXB13	16
HOXB1.SwissRegulon	SwissRegulon	HOXB1	HOXB1	10
HOXB3.SwissRegulon	SwissRegulon	HOXB3	HOXB3	17
HOXB4.SwissRegulon	SwissRegulon	HOXB4	HOXB4	17
HOXB5.SwissRegulon	SwissRegulon	HOXB5	HOXB5	30
HOXB7.SwissRegulon	SwissRegulon	HOXB7	HOXB7	10
HOXB8.SwissRegulon	SwissRegulon	HOXB8	HOXB8	11
HOXB9.SwissRegulon	SwissRegulon	HOXB9	HOXB9	16
HOXC10.SwissRegulon	SwissRegulon	HOXC10	HOXC10	10
HOXC11.SwissRegulon	SwissRegulon	HOXC11	HOXC11	10
HOXC13.SwissRegulon	SwissRegulon	HOXC13	HOXC13	16
HOXC4.SwissRegulon	SwissRegulon	HOXC4	HOXC4	17
HOXC5.SwissRegulon	SwissRegulon	HOXC5	HOXC5	17
HOXC6.SwissRegulon	SwissRegulon	HOXC6	HOXC6	17
HOXC8.SwissRegulon	SwissRegulon	HOXC8	HOXC8	14
HOXC9.SwissRegulon	SwissRegulon	HOXC9	HOXC9	16
HOXD10.SwissRegulon	SwissRegulon	HOXD10	HOXD10	10
HOXD11.SwissRegulon|M04360	SwissRegulon|TRANSFAC_v2017.1	HOXD11|HOXD11	HOXD11	10
HOXD12.SwissRegulon	SwissRegulon	HOXD12	HOXD12	17
HOXD1.SwissRegulon	SwissRegulon	HOXD1	HOXD1	17
HOXD3.SwissRegulon	SwissRegulon	HOXD3	HOXD3	10
HOXD4.SwissRegulon	SwissRegulon	HOXD4	HOXD4	8
HOXD8.SwissRegulon	SwissRegulon	HOXD8	HOXD8	17
HOXD9.SwissRegulon	SwissRegulon	HOXD9	HOXD9	10
HSF1.SwissRegulon	SwissRegulon	HSF1	HSF1	20
HSF2.SwissRegulon	SwissRegulon	HSF2	HSF2	10
HSFY2.SwissRegulon|M04012	SwissRegulon|TRANSFAC_v2017.1	HSFY2|HSFY1	HSFY2|HSFY1	9
IKZF1.SwissRegulon	SwissRegulon	IKZF1	IKZF1	8
IKZF2.SwissRegulon	SwissRegulon	IKZF2	IKZF2	11
INSM1.SwissRegulon	SwissRegulon	INSM1	INSM1	12
IRF1.SwissRegulon	SwissRegulon	IRF1	IRF1	12
IRF2.SwissRegulon	SwissRegulon	IRF2	IRF2	20
IRF3.SwissRegulon|M04014	SwissRegulon|TRANSFAC_v2017.1	IRF3|IRF3	IRF3	21
IRF4.SwissRegulon	SwissRegulon	IRF4	IRF4	15
IRF5.SwissRegulon|M04017	SwissRegulon|TRANSFAC_v2017.1	IRF5|IRF5	IRF5	11
IRF6.SwissRegulon	SwissRegulon	IRF6	IRF6	17
IRF7.SwissRegulon	SwissRegulon	IRF7	IRF7	10
IRF8.SwissRegulon	SwissRegulon	IRF8	IRF8	14
IRF9.SwissRegulon	SwissRegulon	IRF9	IRF9	15
IRX2.SwissRegulon|M04377	SwissRegulon|TRANSFAC_v2017.1	IRX2|IRX2	IRX2	12
